Wall time,Step,Value
1543674900.295441,268,426.6343994140625
1543674900.7692003,269,422.8797302246094
1543674901.2425966,270,419.82489013671875
1543674901.7069356,271,416.97650146484375
1543674902.1723487,272,415.06219482421875
1543674902.634141,273,413.7151184082031
1543674903.0926435,274,414.6062927246094
1543674903.582358,275,417.24566650390625
1543674904.0664,276,429.9826354980469
1543674904.5265713,277,460.0248107910156
1543674904.9840996,278,582.5654296875
1543674905.4412386,279,1140.673583984375
1543674905.9161396,280,4001.281005859375
1543674906.3905272,281,2111.8251953125
1543674906.8631556,282,2781.78515625
1543674907.3427222,283,6340.390625
1543674907.8139944,284,3957.905517578125
1543674908.2976458,285,3789.078857421875
1543674908.769498,286,4049.4384765625
1543674909.2381446,287,1979.8421630859375
1543674909.7006586,288,1697.2498779296875
1543674910.1676078,289,2758.3486328125
1543674910.6289396,290,1276.5927734375
1543674911.0845582,291,1761.3487548828125
1543674911.5413384,292,2504.60009765625
1543674911.9991403,293,2731.3876953125
1543674912.4608536,294,2878.63525390625
1543674912.9203513,295,2158.2021484375
1543674913.399069,296,1805.218994140625
1543674913.8720481,297,1717.6597900390625
1543674914.3456054,298,1301.081298828125
1543674914.821418,299,1012.4083862304688
1543674915.2946754,300,767.4677124023438
1543674915.7737129,301,649.8932495117188
1543674916.2496514,302,620.4776611328125
1543674916.7216656,303,603.4845581054688
1543674917.1941805,304,590.836669921875
1543674917.6568272,305,579.6306762695312
1543674918.1249766,306,569.469482421875
1543674918.6079037,307,559.8848266601562
1543674919.0717096,308,550.9197387695312
1543674919.5391014,309,542.4614868164062
1543674920.0037582,310,534.4913330078125
1543674920.4621217,311,526.8141479492188
1543674920.924215,312,519.4654541015625
1543674921.3860557,313,512.5042724609375
1543674921.8674393,314,505.81512451171875
1543674922.3476572,315,499.4101257324219
1543674922.8235118,316,493.2394104003906
1543674923.294921,317,487.3953857421875
1543674923.7795236,318,481.7743225097656
1543674924.2562091,319,476.4672546386719
1543674924.7299597,320,471.1531677246094
1543674925.2057657,321,466.1158752441406
1543674925.6740637,322,461.4638671875
1543674926.1421654,323,457.0195007324219
1543674926.6020124,324,453.06768798828125
1543674927.0640833,325,448.6376037597656
1543674927.5203693,326,445.1065368652344
1543674927.9848955,327,441.6213073730469
1543674928.4544203,328,439.5769348144531
1543674928.9276402,329,438.2411193847656
1543674929.3880415,330,436.3977355957031
1543674929.8581042,331,438.1690673828125
1543674930.3312263,332,439.009521484375
1543674930.8057456,333,451.06390380859375
1543674931.2807791,334,477.42047119140625
1543674931.7551541,335,579.3497314453125
1543674932.2252207,336,968.5197143554688
1543674932.7013226,337,2880.08544921875
1543674933.1722453,338,1908.243408203125
1543674933.789843,339,1214.68212890625
1543674934.358093,340,2012.9791259765625
1543674934.918176,341,5743.0185546875
1543674935.4820545,342,3592.21875
1543674936.0468175,343,3672.878173828125
1543674936.614731,344,4423.13720703125
1543674937.1962097,345,1874.0963134765625
1543674937.7267568,346,1577.6103515625
1543674938.2413898,347,1566.84423828125
1543674938.7735522,348,946.3319091796875
1543674939.2856865,349,699.7265625
1543674939.8050444,350,562.8785400390625
1543674940.3150003,351,541.2031860351562
1543674940.8186212,352,530.3570556640625
1543674941.331517,353,521.3455200195312
1543674941.8046243,354,513.0082397460938
1543674942.2753544,355,505.21337890625
1543674942.7502005,356,497.8511047363281
1543674943.227897,357,490.8974914550781
1543674943.7137504,358,484.33258056640625
1543674944.186155,359,478.0763854980469
1543674944.6614408,360,472.1223449707031
1543674945.1376371,361,466.4687805175781
1543674945.629288,362,461.0556640625
1543674946.1425154,363,455.8746643066406
1543674946.6672037,364,450.8926086425781
1543674947.1961405,365,446.06170654296875
1543674947.7064953,366,441.4527282714844
1543674948.2215948,367,437.0468444824219
1543674948.7408834,368,432.8538818359375
1543674949.2506478,369,428.9007568359375
1543674949.728212,370,424.869873046875
1543674950.2043586,371,421.2063293457031
1543674950.68181,372,417.7135925292969
1543674951.1585948,373,414.5520935058594
1543674951.6341724,374,411.5119934082031
1543674952.1156166,375,409.5898132324219
1543674952.5888584,376,408.6141052246094
1543674953.061418,377,410.3456115722656
1543674953.5372398,378,417.8951416015625
1543674954.009584,379,437.67498779296875
1543674954.469778,380,506.4555969238281
1543674954.9243836,381,799.797607421875
1543674955.4058015,382,2361.45654296875
1543674955.8655765,383,2855.457275390625
1543674956.3268833,384,4075.5078125
1543674956.789132,385,2572.656494140625
1543674957.2507584,386,1950.7908935546875
1543674957.7195117,387,3764.490234375
1543674958.200276,388,837.4142456054688
1543674958.6832883,389,652.0244140625
1543674959.1591244,390,626.3446044921875
1543674959.6308076,391,625.5905151367188
1543674960.1075475,392,608.1392211914062
1543674960.583607,393,717.3641357421875
1543674961.0552003,394,832.9605712890625
1543674961.5589805,395,1705.6610107421875
1543674962.1233842,396,2091.855224609375
1543674962.6864514,397,4099.62890625
1543674963.251602,398,1067.05615234375
1543674963.961504,399,956.8098754882812
1543674964.6357772,400,967.6240234375
1543674965.277783,401,1156.9259033203125
1543674965.7983646,402,1164.8709716796875
1543674966.3157265,403,1476.5587158203125
1543674966.83399,404,2154.87841796875
1543674967.355817,405,1666.732666015625
1543674967.869604,406,2676.39013671875
1543674968.3784125,407,873.0203857421875
1543674968.9061813,408,734.1273803710938
1543674969.418094,409,700.460205078125
1543674969.8900516,410,645.31591796875
1543674970.3600204,411,670.0908203125
1543674970.8274539,412,662.9186401367188
1543674971.3058379,413,778.3197631835938
1543674971.7789416,414,915.0525512695312
1543674972.2491217,415,1607.1573486328125
1543674972.7321131,416,1858.3194580078125
1543674973.2081444,417,3768.344970703125
1543674973.676199,418,969.1587524414062
1543674974.1450527,419,684.6226806640625
1543674974.6066008,420,576.3473510742188
1543674975.0678692,421,524.2066650390625
1543674975.527404,422,500.054931640625
1543674975.9898279,423,487.6694030761719
1543674976.4547358,424,478.52587890625
1543674976.9109242,425,471.1000061035156
1543674977.3676457,426,464.324462890625
1543674977.8365028,427,458.2400207519531
1543674978.3147197,428,452.3204650878906
1543674978.7867987,429,446.73699951171875
1543674979.2647457,430,441.5859375
1543674979.735362,431,436.6302795410156
1543674980.2194808,432,431.9274597167969
1543674980.6948822,433,427.25970458984375
1543674981.1729412,434,422.7867431640625
1543674981.6439288,435,418.3924560546875
1543674982.1045551,436,414.3086853027344
1543674982.6219969,437,410.3243103027344
1543674983.0800147,438,406.43792724609375
1543674983.5352516,439,402.7322692871094
1543674983.9979577,440,399.1022644042969
1543674984.4574347,441,395.641357421875
1543674984.917947,442,392.5401916503906
1543674985.3736405,443,389.36358642578125
1543674985.827934,444,386.6037292480469
1543674986.2912426,445,383.8004150390625
1543674986.7566519,446,381.9248962402344
1543674987.223215,447,381.15826416015625
1543674987.686998,448,380.8826599121094
1543674988.1489902,449,384.9017333984375
1543674988.6102138,450,390.1229248046875
1543674989.0827885,451,411.7445983886719
1543674989.5362298,452,478.18109130859375
